Read date,NSA,Novva,Aligned,Zions Center of Excellence,Canyon Park,Fibernet,Flexential,Draper Coca-Cola (Ground Truth),NSA (acre feet),Novva (acre feet),Aligned (acre feet),Zions Center of Excellence (acre feet),Canyon Park (acre feet),Fibernet (acre feet),Flexential (acre feet),Draper Coca-Cola (Ground Truth) (acre feet)
January 2015,2832,,,,,,,130,8.691088872,,,,,,,0.3989553508
February 2015,2716,,,,,,,150,8.335097944,,,,,,,0.460333097
March 2015,3977,,,,,,,150,12.20496485,,,,,,,0.460333097
April 2015,4026,,,,,,,330,12.35534032,,,,,,,1.012732813
May 2015,4533,,,,,,,310,13.91126619,,,,,,,0.9513550672
June 2015,5198,,,,,,,940,15.95207626,,,,,,,2.884754075
July 2015,9102,,,,,,,1560,27.93301233,,,,,,,4.787464209
August 2015,7451,,,,,,,1500,22.86627937,,,,,,,4.60333097
September 2015,6415,,,,,,,1080,19.68691212,,,,,,,3.314398299
October 2015,4736,,,,,,,1150,14.53425032,,,,,,,3.529220411
November 2015,4254,,,,,,,340,13.05504663,,,,,,,1.043421687
December 2015,3001,,,,,,,150,9.209730828,,,,,,,0.460333097
January 2016,7623,,,,,,,190,23.39412799,,,,,,,0.5830885896
February 2016,4423,,,,,,,130,13.57368859,,,,,,,0.3989553508
March 2016,2971,,,,,,,180,9.117664208,,,,,,,0.5523997164
April 2016,4144,,,,,,,250,12.71746903,,,,,,,0.7672218284
May 2016,4144,,,,,,,260,12.71746903,,,,,,,0.7979107015
June 2016,8723,,,,,,,1080,26.76990404,,,,,,,3.314398299
July 2016,7076,,,,,,,1930,21.71544663,,,,,,,5.922952515
August 2016,8010,,,,,,,1750,24.58178738,,,,,,,5.370552799
September 2016,5931,,,,,,,1110,18.20157066,,,,,,,3.406464918
October 2016,5184,,,,,,,740,15.90911183,,,,,,,2.270976612
November 2016,4160,,,,,,,240,12.76657122,,,,,,,0.7365329552
December 2016,3192,,,,,,,100,9.795888305,,,,,,,0.3068887314
January 2017,3926,,,,,,,90,12.04845159,,,,,,,0.2761998582
February 2017,3982,,,,,,,90,12.22030928,,,,,,,0.2761998582
March 2017,4496,,,,,,,120,13.79771736,,,,,,,0.3682664776
April 2017,3982,,,,,,,130,12.22030928,,,,,,,0.3989553508
May 2017,5435,,,,,,,770,16.67940255,,,,,,,2.363043231
June 2017,6979,,,,,,,1450,21.41776456,,,,,,,4.449886605
July 2017,8436,,,,,,,1880,25.88913338,,,,,,,5.769508149
August 2017,10372,,,,,,,1520,31.83049922,,,,,,,4.664708717
September 2017,7607,,,,,,,1140,23.34502579,,,,,,,3.498531537
October 2017,4449,,,,,,,370,13.65347966,,,,,,,1.135488306
November 2017,4987,,,,,,,320,15.30454103,,,,,,,0.9820439403
December 2017,3452,,,,,,,180,10.59379901,,,,,,,0.5523997164
January 2018,3717,,,,,,,190,11.40705414,,,,,,,0.5830885896
February 2018,3137,,,,,,,200,9.627099503,,,,,,,0.6137774627
March 2018,4756,,,,,,,130,14.59562806,,,,,,,0.3989553508
April 2018,5365,,,,,,,140,16.46458044,,,,,,,0.4296442239
May 2018,5646,,,,,,,290,17.32693777,,,,,,,0.8899773209
June 2018,6544,,,,,,,910,20.08279858,,,,,,,2.792687455
July 2018,11045,,,,,,,1180,33.89586038,,,,,,,3.62128703
August 2018,6318,,,,,,,1450,19.38923005,,,,,,,4.449886605
September 2018,7660,,,,,,,800,23.50767682,,,,,,,2.455109851
October 2018,5714,,,,,,,220,17.53562211,,,,,,,0.675155209
November 2018,4365,,,,,,,90,13.39569312,,,,,,,0.2761998582
December 2018,4316,,,,,,,100,13.24531765,,,,,,,0.3068887314
January 2019,4978,,,,,,,60,15.27692105,,,,,,,0.1841332388
February 2019,3558,,,,,,,90,10.91910106,,,,,,,0.2761998582
March 2019,6412,,,,,,,90,19.67770545,,,,,,,0.2761998582
April 2019,6476,,,,,,,210,19.87411424,,,,,,,0.6444663358
May 2019,7006,,,,,654,,450,21.50062452,,,,,2.007052303,,1.380999291
June 2019,8773,,,,,925,,710,26.9233484,,,,,2.838720765,,2.178909993
July 2019,10096,,,,,840,,960,30.98348632,,,,,2.577865343,,2.946131821
August 2019,12744,,,,,872,,1150,39.10989992,,,,,2.676069737,,3.529220411
September 2019,9353,,,,,597,,930,28.70330304,,,,,1.832125726,,2.854065202
October 2019,8007,,,,,463,,460,24.57258072,,,,,1.420894826,,1.411688164
November 2019,7007,,,,,,,110,21.50369341,,,,,,,0.3375776045
December 2019,11987,,,,,,,80,36.78675223,,,,,,,0.2455109851
January 2020,11570,,,,,,,80,35.50702622,,,,,,,0.2455109851
February 2020,12153,,,,,,,90,37.29618752,,,,,,,0.2761998582
