Read Date,Low Meter Read_31-013200-02,Consumption_31-013200-02,Low Meter Read_31-014050-01,Consumption_31-014050-01,Low Meter Read_31-012200-06 ,Consumption_31-012200-06 ,Low Meter Read_31-014000-02,Consumption_31-014000-02,Low Meter Read_31-013300-04,Consumption_31-013300-04,Low Meter Read_31-013700-01,Consumption_31-013700-01,Low Meter Read_31-013400-01,Consumption_31-013400-01,Low Meter Read_31-012800-01,Consumption_31-012800-01,Low Meter Read_31-012300-01,Consumption_31-012300-01,Low Meter Read_31-013800-01,Consumption_31-013800-01,Low Meter Read_31-012600-01,Consumption_31-012600-01,Low Meter Read_31-012500-01,Consumption_31-012500-01,Low Meter Read_31-013100-01,Consumption_31-013100-01,Low Meter Read_31-012400-01,Consumption_31-012400-01,Low Meter Read_31-013500-01,Consumption_31-013500-01,Low Meter Read_31-013600-01,Consumption_31-013600-01,Low Meter Read_31-012900-01,Consumption_31-012900-01,Low Meter Read_31-013000-01,Consumption_31-013000-01,Low Meter Read_31-012700-01,Consumption_31-012700-01
2019-05-01,,,,,,,,,714.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-30,,,,,,,,,714.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-02,,,,,,,,,714.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-29,,,,,,,,,714.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-29,,,,,,,,,3304.0,2590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,,,,,,,,,4503.0,1199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-25,,,,,,,,,4873.0,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,,,,,,,,,5040.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,,,,,,,,,5444.0,404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-24,,,,,,,,,5899.0,455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
