Read Date,Consumption_31-013200-02,Consumption_31-014050-01,Consumption_31-012200-06 ,Consumption_31-014000-02,Consumption_31-013300-04,Consumption_31-013700-01,Consumption_31-013400-01,Consumption_31-012800-01,Consumption_31-012300-01,Consumption_31-013800-01,Consumption_31-012600-01,Consumption_31-012500-01,Consumption_31-013100-01,Consumption_31-012400-01,Consumption_31-013500-01,Consumption_31-013600-01,Consumption_31-012900-01,Consumption_31-013000-01,Consumption_31-012700-01
2019-05-01,,,,,0.0,,,,,,,,,,,,,,
2019-05-30,,,,,0.0,,,,,,,,,,,,,,
2019-07-02,,,,,0.0,,,,,,,,,,,,,,
2019-07-29,,,,,0.0,,,,,,,,,,,,,,
2019-08-29,,,,,2590.0,,,,,,,,,,,,,,
2019-09-30,,,,,1199.0,,,,,,,,,,,,,,
2019-10-25,,,,,370.0,,,,,,,,,,,,,,
2020-04-30,,,,,167.0,,,,,,,,,,,,,,
2020-05-26,,,,,404.0,,,,,,,,,,,,,,
2020-06-24,,,,,455.0,,,,,,,,,,,,,,
2020-07-29,,,,,772.0,,,,,,,,,,,,,,
2020-08-25,,,,,729.0,,,,,,,,,,,,,,
2020-09-29,,,,,911.0,,,,,,,,,,,,,,
2020-10-21,,,,,18.0,,,,,,,,,,,,,,
2021-04-28,,,,,361.0,,,,,,,,,,,,,,
2021-05-27,0.0,236.0,706.0,833.0,887.0,444.0,96,282.0,,758.0,514.0,178.0,840.0,145.0,46.0,375.0,,248.0,235.0
2021-06-24,,239.0,424.0,769.0,727.0,409.0,202,290.0,,702.0,565.0,176.0,1085.0,215.0,76.0,594.0,5.0,232.0,235.0
2021-07-29,276.0,334.0,962.0,607.0,1004.0,610.0,301,304.0,506.0,710.0,490.0,148.0,1513.0,250.0,120.0,610.0,5.0,180.0,199.0
2021-08-26,384.0,193.0,364.0,493.0,136.0,426.0,128,211.0,190.0,26.0,222.0,49.0,757.0,969.0,74.0,744.0,9.0,129.0,123.0
2021-09-29,515.0,241.0,454.0,868.0,0.0,491.0,167,244.0,261.0,0.0,269.0,63.0,1047.0,321.0,69.0,569.0,3.0,148.0,146.0
2021-10-28,9.0,18.0,132.0,67.0,0.0,14.0,11,113.0,98.0,1.0,79.0,14.0,382.0,86.0,33.0,81.0,3.0,20.0,24.0
2021-11-30,6.0,39.0,91.0,78.0,,1.0,0,33.0,21.0,3.0,7.0,10.0,43.0,69.0,23.0,38.0,10.0,1.0,2.0
2021-12-30,5.0,68.0,59.0,41.0,,0.0,I,16.0,16.0,0.0,9.0,8.0,28.0,82.0,10.0,26.0,4.0,0.0,9.0
2022-01-27,0.0,3.0,100.0,53.0,,0.0,,36.0,14.0,12.0,8.0,7.0,20.0,92.0,8.0,22.0,3.0,1.0,3.0
2022-02-28,0.0,70.0,80.0,81.0,,1.0,,54.0,22.0,10.0,7.0,6.0,19.0,60.0,26.0,32.0,3.0,1.0,5.0
2022-03-30,0.0,61.0,31.0,68.0,,5.0,,17.0,13.0,,41.0,5.0,77.0,31.0,23.0,29.0,11.0,0.0,6.0
2022-04-27,0.0,11.0,30.0,100.0,0.0,1.0,l,24.0,21.0,15.0,5.0,5.0,53.0,32.0,28.0,27.0,17.0,1.0,14.0
2022-05-26,0.0,11.0,141.0,84.0,0.0,2.0,13,152.0,225.0,5.0,72.0,7.0,51.0,85.0,39.0,266.0,8.0,109.0,1.0
2022-06-29,9.0,110.0,777.0,371.0,0.0,918.0,155,104.0,401.0,340.0,333.0,132.0,1321.0,83.0,86.0,722.0,105.0,74.0,93.0
2022-07-28,0.0,388.0,848.0,1229.0,0.0,533.0,207,590.0,345.0,1220.0,644.0,169.0,1137.0,81.0,109.0,2598.0,37.0,527.0,662.0
2022-08-29,276.0,227.0,786.0,711.0,352.0,216.0,63,356.0,318.0,749.0,195.0,97.0,691.0,78.0,35.0,789.0,50.0,271.0,349.0
2022-09-28,453.0,292.0,596.0,778.0,490.0,194.0,212,214.0,358.0,690.0,317.0,84.0,687.0,75.0,185.0,369.0,28.0,147.0,542.0
2022-10-27,462.0,158.0,476.0,543.0,525.0,221.0,224,389.0,133.0,630.0,436.0,138.0,660.0,66.0,92.0,56.0,68.0,0.0,286.0
2022-11-29,1.0,24.0,79.0,86.0,,18.0,,11.0,17.0,64.0,12.0,14.0,54.0,54.0,66.0,21.0,30.0,100.0,9.0
2022-12-27,2.0,20.0,62.0,51.0,,0.0,,30.0,22.0,0.0,4.0,6.0,40.0,1452.0,35.0,12.0,29.0,67.0,6.0
2023-01-30,3.0,10.0,46.0,40.0,,0.0,0,10.0,19.0,5.0,4.0,5.0,35.0,60.0,0.0,8.0,15.0,43.0,91.0
2023-02-28,2.0,13.0,1.0,193.0,,,0,11.0,15.0,3.0,4.0,4.0,30.0,74.0,30.0,30.0,13.0,0.0,7.0
2023-03-27,4.0,2.0,41.0,23.0,,,0,14.0,12.0,3.0,14.0,5.0,25.0,30.0,38.0,12.0,12.0,2.0,28.0
2023-04-26,5.0,3.0,74.0,6.0,71.0,,1,27.0,14.0,0.0,6.0,5.0,126.0,23.0,134.0,10.0,50.0,0.0,18.0
2023-05-25,205.0,185.0,115.0,82.0,0.0,373.0,605,133.0,182.0,1.0,27.0,94.0,499.0,257.0,62.0,28.0,37.0,195.0,346.0
2023-06-27,748.0,879.0,1312.0,730.0,0.0,848.0,126,33.0,452.0,,48.0,437.0,1162.0,230.0,83.0,817.0,33.0,681.0,511.0
