Aligned Energy Data Centers,,
3333 W 9000 S,,
West Jordan Ut 84088,,
Acct# 0055616,,
Meter# 10475583,,
"6"" culinary",,
Read Date,Bill Usage,"each units = 1,000 gallons"
07/11/2024,"4,774",
06/11/2024,"4,809",
05/09/2024,"3,991",
04/11/2024,"2,657",
03/14/2024,"1,873",
02/14/2024,"1,359",
01/08/2024,275,
12/13/2023,678,
11/15/2023,"4,477",
10/11/2023,"3,742",
09/13/2023,"4,575",
08/14/2023,"5,709",
07/12/2023,"3,693",
06/14/2023,"3,776",
05/11/2023,"2,879",
04/12/2023,"1,318",
03/10/2023,186,
02/15/2023,314,
01/12/2023,215,
12/14/2022,759,
11/14/2022,634,
10/19/2022,"6,951",
09/19/2022,"2,248",
08/15/2022,"1,732",
07/19/2022,"5,704",
06/15/2022,"1,063",
05/19/2022,991,
04/15/2022,"1,354",
03/16/2022,226,
02/17/2022,326,
01/19/2022,354,
12/16/2021,,
,"73,642",units of water billed
