name,company_name,link_profile,type,latitude,longitude,address,city
"2302 South Presidents Drive","Unknown Company","https://www.datacentermap.com/usa/utah/salt-lake-city/2302-s-presidents-dr/","Building",40.720873,-111.984927,"2302 South Presidents Drive","West Valley City"
"Aligned SLC-01","Aligned Data Centers","https://www.datacentermap.com/usa/utah/salt-lake-city/aligned-slc-01/","Datacenter",40.585932,-111.969728,"3333 West 9000 South","West Jordan"
"Aligned SLC-02","Aligned Data Centers","https://www.datacentermap.com/usa/utah/salt-lake-city/aligned-slc-02/","Datacenter",40.585932,-111.969728,"3333 West 9000 South","West Jordan"
"CirrusDS View 78 Data Center","Cirrus Data Services","https://www.datacentermap.com/usa/utah/salt-lake-city/cirrusds-view78/","Datacenter",40.610116,-111.917624,"983 W Center Street","Midvale"
"Consonus PDC","Consonus Technologies, Inc.","https://www.datacentermap.com/usa/utah/salt-lake-city/consonus-pdc/","Datacenter","","","SECRET, within 7 miles of downtown Salt Lake City","West Valley City"
"Consonus SDC","Consonus Technologies, Inc.","https://www.datacentermap.com/usa/utah/salt-lake-city/consonus-sdc/","Datacenter","","","SECRET, within 20 miles of downtown Salt Lake City","West Jordan"
"Consonus WDC","Consonus Technologies, Inc.","https://www.datacentermap.com/usa/utah/salt-lake-city/consonus-wdc/","Datacenter","","","SECRET, within 2 miles of downtown Salt Lake City","Salt Lake City"
"DataBank SLC3 - Granite Point West","DataBank","https://www.datacentermap.com/usa/utah/salt-lake-city/databank-granite-point-west/","Datacenter",40.479891,-111.905781,"14926 Pony Express Road","Bluffdale"
"DataBank SLC1 - Downtown Salt Lake City","DataBank","https://www.datacentermap.com/usa/utah/salt-lake-city/databank-slc1/","Datacenter",40.768519,-111.885833,"179 Social Hall Avenue","Salt Lake City"
"DataBank SLC2 - Granite Point East","DataBank","https://www.datacentermap.com/usa/utah/salt-lake-city/databank-slc2/","Datacenter",40.480032,-111.904533,"14944 Pony Express Road","Bluffdale"
"DataBank SLC4 - Granite Point","DataBank","https://www.datacentermap.com/usa/utah/salt-lake-city/databank-slc4-granite-point/","Datacenter",40.481315,-111.90496,"14860 Pony Express Rd","Bluffdale"
"DataBank SLC5 - Granite Point","DataBank","https://www.datacentermap.com/usa/utah/salt-lake-city/databank-slc5-granite-point/","Datacenter",40.481396,-111.903902,"14850 Pony Express Rd","Bluffdale"
"DataBank SLC6 - Granite Point","DataBank","https://www.datacentermap.com/usa/utah/salt-lake-city/databank-slc6-granite-point/","Datacenter",40.480689,-111.906269,"14870 Pony Express Rd","Bluffdale"
"EdgeConneX Salt Lake City-EDCSLC01","EdgeConneX","https://www.datacentermap.com/usa/utah/salt-lake-city/edcslc01/","Datacenter",40.720873,-111.984927,"2302 South Presidents Drive","West Valley City"
"Fibernet Utah Data Center","Fibernet Corp","https://www.datacentermap.com/usa/utah/orem/fibernet-corporation/","Datacenter",40.275978,-111.676109,"1145 South 800 East","Orem"
"Flexential Salt Lake City - Downtown Data Center","Flexential","https://www.datacentermap.com/usa/utah/salt-lake-city/flexential-slc-downtown/","Datacenter",40.756304,-111.955177,"572 South Delong Street","Salt Lake City"
"Flexential Salt Lake City - Millcreek Data Center","Flexential","https://www.datacentermap.com/usa/utah/salt-lake-city/flexential-slc-east/","Datacenter",40.685503,-111.885238,"3949 South 200 East","Salt Lake City"
"Flexential Salt Lake City - Lindon Data Center","Flexential","https://www.datacentermap.com/usa/utah/salt-lake-city/flexential-slc-lindon/","Datacenter",40.332424,-111.727994,"333 South 520 West","Lindon"
"Flexential Salt Lake City - South Valley Data Center","Flexential","https://www.datacentermap.com/usa/utah/salt-lake-city/flexential-slc-south-valley/","Datacenter",40.620566,-111.984658,"7202 South Campus View Drive","West Jordan"
"Flexential Salt Lake City - Fair Park Data Center","Flexential","https://www.datacentermap.com/usa/utah/salt-lake-city/flexential-slc-west/","Datacenter",40.766908,-111.920009,"118 South 10th West","Salt Lake City"
"Lumen Ogden 1","Lumen","https://www.datacentermap.com/usa/utah/ogden/level3-ogden-1/","Datacenter",41.236808,-111.991491,"526 W 17th Street","Ogden"
"Lumen Salt Lake City 2","Lumen","https://www.datacentermap.com/usa/utah/salt-lake-city/level3-salt-lake-city2/","Datacenter",40.780741,-112.011435,"5035 Harold Gatty Drive","Salt Lake City"
"Meta Eagle Mountain Data Center","Meta","https://www.datacentermap.com/usa/utah/orem/meta-eagle-mountain-data-center/","Hyperscaler",40.261502,-112.018109,"East 1000 North","Eagle Mountain"
"Novva Salt Lake City","Novva","https://www.datacentermap.com/usa/utah/salt-lake-city/novva-flagship/","Datacenter",40.577036,-112.04771,"6477 Wells Park Rd","West Jordan"
"Voonami Orem Data Center","Voonami Inc","https://www.datacentermap.com/usa/utah/orem/orem-data-center/","Datacenter",40.32621,-111.681677,"510 E Technology Avenue, Building C","Orem"
"Salt Lake City Campus","Aligned Data Centers","https://www.datacentermap.com/usa/utah/salt-lake-city/salt-lake-city-campus/","Campus",40.585936,-111.969762,"3333 W 9000 S","West Jordan"
"Voonami Salt Lake City Data Center","Voonami Inc","https://www.datacentermap.com/usa/utah/salt-lake-city/salt-lake-city-data-center/","Datacenter",40.721177,-111.98508,"2302 South Presidents Drive","West Valley City"
"Tonaquint Saint George Data Center","Tonaquint Data Centers, Inc.","https://www.datacentermap.com/usa/utah/st-george/tonaquint-stg/","Datacenter",37.081516,-113.607164,"1108 West 1600 South, Bldg D","St George"
"XMission Data Center","XMission","https://www.datacentermap.com/usa/utah/salt-lake-city/xmission-data-center/","Datacenter",40.760739,-111.888854,"67 E. 400 S.","Salt Lake City"
